train_nitrate,train_water,test_nitrate,test_water
0.0029,0.0093,0.0017,4.5122
0.0031,0.0102,0.0132,1.6794
0.0087,0.0281,0.0132,0.9128
0.0141,0.0458,0.0067,0.487
0.0099,0.0322,0.0037,0.2775
0.0023,0.0074,0.0032,0.2335
0.0022,0.0071,0.0031,0.2132
0.0025,0.0081,0.0031,0.21
0.0025,0.0079,0.0027,0.1819
0.0038,0.0122,0.0015,0.0926
0.5472,1.7504,0.0011,0.0619
0,0,0.001,0.0567
3.5577,7.721,0.0009,0.0504
1.7451,3.5896,0.0007,0.0376
0.7525,1.5337,0.0005,0.0283
0.0987,0.2109,0.0004,0.0221
0.0451,0.1004,0.0005,0.0241
0.0234,0.0545,0.0007,0.031
0.0171,0.0417,0.0021,0.0917
0.0101,0.0258,0.0018,0.0747
0.0047,0.0126,0.0015,0.0586
0.0031,0.0088,0.0015,0.0555
0.0005,0.0014,0.252,9.0595
0,0,0.1367,4.7652
0,0,0.0189,0.6338
0,0,0.003,0.0957
0.0003,0.001,0.0017,0.0511
0,0,0.0018,0.0541
0,0,0.0014,0.0387
0.001,0.0052,0.0013,0.0293
0,0,0.0014,0.0375
0.0139,0.1276,0.0014,0.0463
0,0,0.0014,0.056
0,0,0.0012,0.0662
0,0,0.0217,2.3597
0,0,0.0143,2.7811
0,0,0.0192,4.2886
0,0,0.0189,3.5885
0,0,0.0055,0.9523
0.0773,0.6221,0.0007,0.1101
0.2615,2.0746,0.0002,0.0382
0,0,0.0001,0.0228
0.0001,0.0006,0.0042,1.796
0.0004,0.0024,0.0026,1.2554
0.0001,0.0003,0.0029,1.4445
0,0,0.0078,3.0567
0,0.0001,0.0014,0.4264
0.001,0.0042,0.0004,0.0816
0.0031,0.0125,0.0003,0.0463
0.0036,0.0136,0.0006,0.1709
0.0356,0.2305,0.0004,0.371
0,0,0.0031,3.1068
0,0,0.0072,2.5688
0,0,0.0057,1.7821
0,0,0.0149,4.617
0,0,0.0016,0.4737
0.0972,2.3433,0.0003,0.0868
0.0093,0.2243,0.0004,0.0839
0.0018,0.0438,0.0005,0.0793
0.0019,0.0449,0.0004,0.0498
0.0012,0.0284,0.0004,0.0352
0.0003,0.0071,0.0003,0.0237
0,0.0009,0,0.0005
0,0,0,0
0,0,0,0
0.001,0.0229,0,0
0.002,0.0463,0,0
0.0093,0.2192,0.011,0.5491
0.042,0.9904,0.0649,3.2388
0.3364,3.3866,0.0081,0.4034
0.068,0.5555,0.0018,0.0996
0.2053,1.0628,0.0018,0.1603
1.1681,5.2157,0.0334,3.2331
1.7772,6.9648,0.0201,1.96
0.3665,1.2749,0.0106,1.0483
1.0293,3.2068,0.0051,0.5098
0.1726,0.4595,0.0059,0.5933
1.355,3.243,0.0024,0.2499
1.332,3.0005,0.0075,0.3969
1.1875,2.2158,0.0394,1.7927
1.6266,2.6302,0.0274,1.1273
0.936,1.4994,0.0089,0.3326
0.3262,0.5499,0.006,0.2071
0.1017,0.1862,0.0052,0.1887
0.0522,0.099,0.0013,0.0508
0.0387,0.0789,0.0008,0.0345
0.3038,0.6042,0.0006,0.0216
0.2277,0.4448,0.007,0.1013
0.1227,0.229,0.3641,7.2679
0.084,0.1616,0.2607,5.8434
0.0576,0.1165,0.0513,1.0209
0.0284,0.0599,0.0275,0.5078
2.1734,8.0148,0.0093,0.1873
1.1617,3.7718,0.0048,0.1014
1.2991,2.648,0.004,0.0783
0.4367,0.7621,0.0018,0.0504
1.0036,1.9765,0.0009,0.0285
3.0066,5.7743,0.0007,0.0233
0.784,1.4317,0.0006,0.0168
0.4289,0.7425,0.0003,0.009
0.172,0.2896,0.0004,0.0093
0.115,0.1946,0.0006,0.0128
0.0786,0.1345,0.0001,0.0018
0.0497,0.0897,0.0934,1.4046
0.0259,0.057,0.0315,0.7644
0.0217,0.0527,0.0064,0.2098
0.0179,0.0551,0.0069,0.1004
0.0118,0.0384,0.0038,0.0591
0.0071,0.0225,0.2402,4.2781
0.0088,0.0263,0.0481,6.8651
0.009,0.0264,0,2.7301
0.0057,0.0169,0,0.4993
0.0038,0.0112,0,0.1563
0.0038,0.0117,0.0002,0.069
0.0036,0.0113,0.019,1.0973
0.0032,0.0103,0.0678,6.0912
0.003,0.0102,0.0102,1.1175
0.0027,0.0104,0.0307,4.096
0.0172,0.0742,0.0151,1.434
0.0266,0.1335,0.0148,2.9709
0.0082,0.0502,0.0083,1.6654
0.0038,0.0245,0.0099,3.5757
0.0031,0.0193,0.0339,7.3262
0.0021,0.0126,0.0017,1.4437
0.0016,0.01,0.0001,0.2889
0.0007,0.0042,0.0001,0.1064
0.0009,0.0059,0.0002,0.0457
0.0006,0.0035,0.0003,0.0277
0.0017,0.0105,0.0109,1.2002
0.0047,0.0288,0.0312,6.4652
0.0001,0.0006,0.0011,0.3709
0.0013,0.0065,0.0097,3.4625
0.0489,0.2822,0.0258,6.8193
0.2204,1.5048,0.0026,0.912
0,0,0.0004,0.1435
0.2136,1.9436,0.0002,0.0675
0.2371,2.4864,0.0045,5.7686
0.0065,0.084,0.0012,0.6312
0.0024,0.0331,0.0074,5.601
0.0015,0.0222,0.0043,3.2988
0.0009,0.0131,0.0007,0.2864
0.0928,1.3247,0.001,0.2844
0.0047,0.0747,0.002,0.5605
0.0064,0.0943,0.0002,0.0744
0.0031,0.047,0.005,2.7909
0.0015,0.0241,0.0021,3.8966
0.0015,0.0263,0.0007,1.7341
0.0012,0.0219,0.0013,4.2691
0.0013,0.0227,0.0003,1.0216
0.0013,0.0233,0,0.0692
0.0015,0.0278,0,0.0244
0.0017,0.0312,0.0087,1.6474
0.0009,0.0169,0.0173,7.5502
0,0,0.0002,0.13
0,0,0.0001,0.0497
0,0,0.0039,0.3969
0,0,0.0003,0.133
0,0,0,0.0601
0,0,0,0.0347
0,0,0.0002,0.0241
0,0,0.0003,0.0206
0,0,0.0002,0.0245
0,0,0.0003,0.023
0,0,0.001,0.0245
0,0,0.0015,0.0421
0,0,0.0043,0.1354
0,0,0.0472,1.7106
0,0,0.004,0.1782
0,0,0.0005,0.0604
0,0,0.0008,0.0581
0,0,0.0287,7.5327
0,0,0.0033,1.5356
0,0,0.0005,0.0774
0,0,0.0004,0.0636
0,0,0.0001,0.0285
0.0967,1.3367,0.0001,0.0121
0.0581,0.807,0,0.0048
0,0,0.0001,0.0081
0,0,0.0001,0.0097
0,0,0,0
0,0,0,0.0021
0,0,0,0.0012
0,0,0,0.0051
0,0,0.0022,3.2508
0,0,0,0.0615
0,0,0,0.0054
0,0,0,0.0268
0.0031,0.0658,0.0147,0.1543
0,0,0.0034,0.0231
0.0488,1.1666,0.0014,0.0095
0.0001,0.0049,0.0103,0.0513
0.0001,0.0075,0.007,0.0315
0,0.0011,0.0038,0.0197
0,0,0.0022,0.0135
0,0,0.0024,0.0159
0,0.001,0.0031,0.0192
0,0,0.0092,0.0228
0,0,0.3689,0.6911
0,0,0.1434,0.3005
0,0,0.0539,0.113
0,0,0.0253,0.0505
0,0,0.1851,0.5117
0,0,0.079,0.2977
0,0,0.0058,0.0367
0,0,0.0055,0.0405
0,0,0.0038,0.0361
0,0,0.0021,0.0227
0,0,0.0013,0.0152
0,0,0.0011,0.0149
0,0,0.0015,0.0244
0,0,0.0049,0.0586
0,0,0.002,0.0214
0,0,0,0.0001
0,0,0,0.0002
0,0,0,0
0,0,0,0.0033
0,0,0,0.0035
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0.001,0.0564,0,0
0.0002,0.0103,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0.0121,1.3859
0,0,0.0023,0.3399
0,0,0,0.023
0,0,0,0.011
0,0,0.0193,7.1811
0,0,0.0003,0.2135
0,0,0,0.0399
0,0,0,0.0158
0,0,0,0.01
0,0,0.0001,0.0091
0,0,0.0001,0.009
0,0,0.0001,0.0114
0,0,0,0.0055
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0.0041
0,0,0,0.005
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0.0261,1.0249,0,0
0.0016,0.0612,0,0
0.0001,0.0026,0,0
0,0.0001,0,0
0,0.001,0,0
0,0,0,0.0001
0,0,0,0.0061
0,0,0,0.0006
0,0,0.0002,0.0079
0,0,0.0005,0.015
0,0,0.0003,0.0073
0,0,0.0015,0.0245
0,0,0.0023,0.0323
0,0,0.0018,0.0213
0,0,0.0013,0.0128
0,0,0.0012,0.0097
0,0,0.0007,0.0046
0,0,0.0092,0.0208
0,0,0.5245,0.9079
0,0,0.0919,0.1054
0,0,0.1249,0.1481
0,0,0.0451,0.0565
0,0,0.026,0.0359
0,0,0.0187,0.028
0,0,0.0136,0.0212
0,0,0.011,0.0176
0,0,0.0079,0.0127
0.0019,0.1496,0.004,0.0064
0.0007,0.0557,0,0
0.0002,0.0148,0,0
0,0.0025,0,0
0,0,0.0128,0.0207
0,0,0.0283,0.0458
0,0,0.0177,0.0288
0,0,0.0219,0.0356
0,0.0025,0.011,0.0179
0.0002,0.0115,0.0205,0.0334
0.0001,0.004,0.0276,0.0453
0,0.0017,0.0087,0.015
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0.0004,0,0
0,0,0,0
0,0,0,0
0,0,0.3939,1.7092
0,0,0.424,2.0444
0,0,0.042,0.2518
0,0,0.009,0.0688
0,0,0.1412,1.2043
0,0,1.1103,8.9441
0,0,0.4175,3.4725
0,0,0.1158,1.4387
0,0,0.0352,0.5794
0,0,0.0101,0.1941
0,0,0.0052,0.0917
0,0,0.0033,0.0564
0,0,0.0028,0.0461
0,0,0.0022,0.0373
0,0,0.0019,0.0333
0,0,0.0019,0.0327
0,0,0.0018,0.0323
0,0,0.0012,0.0221
0,0,0.0012,0.0221
0,0,0.001,0.0185
0,0,0.0007,0.012
0,0,0.0024,0.043
0,0,0.0052,0.0929
0,0,0.0045,0.0803
0,0,0.0027,0.0483
0,0,0.0016,0.0281
0,0,0.0013,0.0227
0,0,0.0012,0.0216
0,0,0.0012,0.0208
0.0025,0.1357,0.001,0.0172
0.0002,0.013,0.0008,0.0148
0.0001,0.0053,0.0006,0.0124
0,0.0004,0.0209,0.5008
0,0,0.0054,0.1494
0,0,0.0018,0.0631
0,0,0.001,0.0477
0,0,0.0021,0.142
0,0,0.002,0.1744
0,0,0.0012,0.1156
0,0,0.0008,0.0783
0,0,0.0005,0.0459
0.0001,0.0108,0.0004,0.0328
0,0.0012,0.0002,0.0212
0,0,0.0002,0.0199
0,0,0.0321,2.3205
0,0,0.0232,1.9118
0,0,0.0016,0.1693
0,0,0.0004,0.0603
0,0,0.0002,0.059
0,0,0.0003,0.1136
0,0,0.0002,0.0655
0.0003,0.0221,0.0002,0.0453
0.0004,0.0273,0.0002,0.0507
0.0002,0.0103,0.0002,0.0425
0.0001,0.0068,0.0002,0.0252
0,0.0043,0.0003,0.0184
0,0.0004,0.0002,0.0168
0,0,0.0001,0.0183
0,0,0.0001,0.0293
0.0047,0.292,0.0001,0.053
0.0039,0.2181,0.0002,0.0868
0.0006,0.0372,0.0002,0.0924
0.0004,0.021,0.0002,0.0794
0.002,0.1001,0.0001,0.0585
0.0008,0.0377,0.0065,4.8879
0.0004,0.0174,0.0138,10.7344
0.0003,0.0152,0.0031,2.9874
0.0001,0.0149,0.0007,1.8525
0.0001,0.0122,0.0008,2.0668
0.0326,3.2909,0.0007,1.9994
0.0373,3.1086,0.0005,1.6015
0.0054,0.2885,0.0002,0.7356
0.0008,0.0726,0.0003,0.3148
0.0003,0.0323,0.0003,0.1982
0.0002,0.0226,0.0002,0.1399
0.0001,0.016,0.0002,0.1099
0.0001,0.0138,0.0124,6.2373
0.0001,0.0139,0.0135,10.4103
0.0001,0.0141,0.0042,8.3026
0.0001,0.0129,0.0026,2.9982
0.0001,0.0122,0.0007,1.5676
0.0001,0.0135,0.0005,1.1187
0.0001,0.0132,0.0003,0.6485
0.0001,0.0167,0.0001,0.1677
0.0075,1.4957,0.0026,3.561
0.0091,1.9714,0.0009,1.3577
0.007,1.6685,0.0001,0.1568
0.0013,0.4658,0.0001,0.0893
0.0004,0.2034,0.0001,0.0935
0.0011,0.1371,0.0001,0.1267
0.0019,0.1143,0.0018,3.6614
0.0022,0.0978,0.0023,4.4609
0.0018,0.0782,0.0013,2.4194
0.0014,0.0602,0.0013,2.2974
0.0011,0.0461,0.0014,2.2586
0.001,0.0444,0.0015,1.9219
0.0008,0.0341,0.0014,1.4321
0.0008,0.033,0.001,1.3442
0.0009,0.0384,0.0008,1.4196
0.0006,0.0271,0.0005,1.3548
0.0007,0.0287,0.0003,0.843
0.0008,0.035,0.0002,0.6901
0.0006,0.0306,0.0004,0.7137
0.0007,0.0354,0.0003,0.3909
0.0006,0.0366,0.0002,0.3814
0.0197,1.111,0.0002,0.5408
0.0389,2.0006,0.0003,0.8834
0.0112,0.5508,0.0021,5.4238
0.0047,0.1713,0.001,2.6337
0.003,0.1004,0.0003,0.8444
0.0018,0.0617,0.0003,0.7559
0.0016,0.0595,0.0001,0.2314
0.0025,0.0947,0.0001,0.1456
0.0018,0.0706,0.0001,0.2455
0.0006,0.0248,0.0001,0.3221
0.0004,0.0175,0.0013,2.9036
0.0004,0.0201,0.0006,1.2064
0,0,0.0002,0.3949
0,0,0.0001,0.2032
0,0,0.0001,0.15
0,0,0.0001,0.1349
0,0,0.0003,0.4219
0,0,0.0014,2.8651
0,0,0.0015,3.1212
0,0,0.0009,1.8185
0,0,0.0007,1.4247
0,0,0.0004,0.703
0,0,0.001,1.8262
0,0,0.0049,9.9601
0,0,0.0019,4.1183
0,0,0.0013,1.6485
0,0,0.0003,0.4103
0,0,0.0002,0.4073
0.0007,0.213,0.0001,0.2353
0.0016,0.739,0.0001,0.1816
0.0091,1.0991,0.0001,0.1439
0.0167,2.0354,0.0001,0.1418
0.0175,5.7868,0.0001,0.158
0.0388,4.3675,0.0001,0.1427
0.2055,8.8255,0.0001,0.1114
0.082,1.8615,0.0001,0.0915
0.0959,1.6626,0.0002,0.0761
0.0921,1.5752,0.0002,0.0699
0.034,0.6354,0.0001,0.0478
0.0221,0.4332,0.0073,1.7998
0.0127,0.2542,0.0142,6.0662
0.0081,0.1701,0.0035,7.197
0.0035,0.0759,0.0011,2.4633
0.0016,0.0377,0.0003,0.6212
0.0011,0.0254,0.0007,1.0079
0.0505,0.838,0.0007,0.8956
0.3965,4.9292,0.0002,0.3658
0.0952,1.1554,0.0001,0.2472
0.0225,0.3145,0.0005,0.7374
0.0126,0.197,0.0048,7.3442
0.0089,0.1406,0.003,4.9059
0.0087,0.1344,0.0008,1.4403
0.0072,0.1163,0.0004,0.7724
0.1883,1.9407,0.0007,1.3554
0.2461,2.3765,0.0004,0.8362
0.0995,1.0282,0.0001,0.2684
0.0382,0.4345,0.0001,0.144
0.0214,0.2502,0.0001,0.1149
0.5332,5.5089,0.0001,0.0936
0.1626,1.6008,0.0019,3.4478
0.3773,4.0495,0.002,5.0598
0.1855,2.0554,0.0004,1.4159
0.0796,0.9019,0.0001,0.2012
0.0353,0.4227,0.0001,0.0994
0.0217,0.2788,0.0001,0.0735
0.0116,0.1592,0.0002,0.0786
0.0025,0.0372,0.0002,0.0554
0.0013,0.0204,0.0002,0.045
0.001,0.0149,0.0002,0.0358
0.0007,0.0113,0.0004,0.0914
0.0928,1.6037,0.0025,0.8671
0.269,5.3907,0.0004,0.2304
0.0229,0.5651,0.0001,0.076
0.0052,0.1201,0.0001,0.0549
0.0027,0.0635,0.0002,0.043
0.0015,0.0379,0.0002,0.0402
0.001,0.0279,0.0002,0.0368
0.0008,0.0222,0.0001,0.0363
0.0006,0.0174,0.0002,0.0371
0.0004,0.0103,0.0001,0.0307
0.0003,0.0085,0.0001,0.033
0.0003,0.008,0.0002,0.0376
0.0002,0.006,0.0002,0.0377
0.0002,0.0071,0.0002,0.0371
0.0001,0.0026,0.0002,0.0363
0,0.0003,0.0002,0.0385
0,0,0.0003,0.0395
0,0,0.0005,0.045
0,0.0001,0.0006,0.0405
0,0.0009,0.0006,0.039
0,0.0125,0.0007,0.0405
0,0.0142,0.0006,0.0339
0.0048,0.8576,0.0008,0.0478
0.0033,0.239,0.0008,0.0464
0.0014,0.0804,0.0008,0.0454
0.0009,0.0529,0.0025,0.0614
0.0005,0.0316,0.0145,0.1003
0.0002,0.0169,0.2805,1.1296
0.0001,0.0079,0.4045,1.213
0,0,0.2411,0.5612
0,0,0.9356,7.7541
0,0,0.3302,12.02
0,0,0.0425,3.2553
0,0,0.0165,0.9162
0,0,0.006,0.2823
0,0,0.0022,0.1882
0,0,0.0004,0.1448
0,0,0.0001,0.1069
0.016,1.2807,0.002,0.0863
0.0022,0.1687,0.0163,0.1211
0.0001,0.0081,0.8546,3.6167
0.021,1.7207,0.5365,5.4519
0.1172,11.9582,0.1612,2.3962
0.005,0.9652,0.0113,0.1813
0.0009,0.105,0.0059,0.0995
0.0002,0.0217,0.0049,0.0824
0.0001,0.0109,0.0044,0.0748
0.0001,0.0087,0.0036,0.0605
0.0001,0.0076,0.0031,0.0527
0,0.0015,0.0028,0.0482
0.0204,1.8648,0.003,0.0512
0.0148,1.2314,0.0033,0.0564
0.0008,0.059,0.004,0.068
0.0003,0.0174,0.0048,0.0814
0.0002,0.0109,0.0024,0.0418
0.0644,1.7654,0.0019,0.0335
0.2045,4.5085,0.0016,0.0279
0.1045,3.8728,0.0014,0.0237
0.1704,7.2514,0.0011,0.0191
0.0024,0.291,0.001,0.0173
0.0015,0.1585,0.001,0.0173
0.001,0.0699,0.0009,0.0164
0.0008,0.0522,0.0008,0.0137
0.0008,0.0484,0.0007,0.0116
0.0007,0.0426,0.0007,0.0099
0.0007,0.0407,0.0008,0.0101
0.0009,0.0416,0.0142,0.101
0.0012,0.0424,0.0102,0.0499
0.0023,0.042,0.0102,0.0384
0.8088,13.4988,0.2531,0.5466
0.1395,4.9006,0.2491,0.515
0.0216,0.9074,0.0523,0.1032
0.0196,0.8629,0.0341,0.0695
0.0034,0.1745,0.0461,0.0998
0.0012,0.0775,0.026,0.0587
0.0008,0.0499,0.0186,0.0442
0.0007,0.04,0.012,0.0299
0.0006,0.037,0.0088,0.0228
0.0007,0.0359,0.0061,0.0158
0.0007,0.0286,0.0061,0.0155
0.0008,0.014,0.4343,1.0254
0.5299,10.0019,0.0249,0.0615
0.052,1.193,0.0096,0.0195
0.0054,0.1722,1.9272,3.2188
0.4324,7.1478,1.5609,2.383
0.135,3.6376,0.2093,0.2751
0.2196,4.6439,0.2406,0.334
0.0219,1.036,0.0246,0.0394
0.0031,0.1559,0.0087,0.0143
0.0224,0.474,0.0062,0.0106
0.2849,3.5846,0.0051,0.0092
0.3551,7.8769,0.0044,0.0085
0.0808,2.4559,0.005,0.0101
0.0073,0.2631,0.005,0.0106
0.0035,0.1311,0.0035,0.0087
0.0025,0.0917,0.003,0.0084
0.0021,0.0762,0.0029,0.0088
0.0019,0.0684,0.0032,0.0099
0.0019,0.0656,0.0022,0.0067
0.0019,0.063,0.0016,0.0046
0.0019,0.0584,0.0654,0.3745
0.0024,0.0693,0.0128,0.0716
0.0027,0.076,0.0058,0.0326
0.0031,0.0796,0.0051,0.0291
0.0045,0.0878,0.0064,0.042
0.0071,0.1021,0.1171,1.5115
0.422,3.0747,0.0026,0.0314
0.0232,0.2397,0.0004,0.0043
0.0094,0.1263,0,0
0.0057,0.0961,0,0
0.0051,0.0948,0,0
0.0052,0.1027,0,0
0.0056,0.1139,0,0
0.0052,0.1094,0,0
0.0048,0.1034,0,0
0.0045,0.0924,0,0
0.0058,0.0856,0,0
0.0317,0.2732,0,0
0.4996,3.7319,0.0145,1.0926
0.0686,0.5918,0.0002,0.0047
0.023,0.2185,0.001,0.0217
0.0066,0.0797,0,0.001
0.0046,0.0617,0,0
0.0033,0.049,0,0
0.0024,0.0384,0,0
0.0029,0.0364,0,0
1.1139,4.0129,0,0
1.1136,4.6162,0,0
0.1326,0.7309,0,0
0.037,0.2443,0,0
0.0208,0.1531,0,0
0.0146,0.1168,0,0
0.0118,0.1027,0.0422,2.7376
0.0109,0.1009,0.0021,0.1831
0.0089,0.0887,0.0001,0.0068
0.0074,0.0785,0,0
0.0071,0.0804,0,0
0.0071,0.0872,0.0034,0.3004
0.0068,0.0907,0.0003,0.0494
0.006,0.0854,0,0.0108
0.0051,0.0767,0,0.0013
0.005,0.0806,0,0
0.0036,0.0601,0,0
0.0028,0.0456,0,0
0.0018,0.0295,0,0
0.0016,0.0275,0,0
0.0015,0.0259,0,0
0.0013,0.023,0,0
0.0012,0.0209,0,0
0.0012,0.0192,0,0
0.0013,0.0201,0,0
0.0014,0.0216,0,0
0.0028,0.0406,0,0
0.0114,0.1271,0,0
0.0128,0.1093,0,0
0.0068,0.0539,0,0
0.0038,0.0334,0,0
0.0026,0.0252,0,0
0.0023,0.0239,0,0
0.0023,0.0262,0,0
0.0027,0.0328,0,0
0.0035,0.0445,0,0
0.0039,0.0527,0,0
0.0041,0.056,0,0
0.0037,0.0512,0,0
0.0033,0.0447,0,0
0.0031,0.0423,0,0
0.0031,0.0401,0,0
0.0036,0.0456,0,0
0.0016,0.0199,0,0
0,0,0,0
0.0001,0.0019,0,0
0,0.0001,0,0
0.0002,0.0031,0,0
0,0,0,0
0,0,0,0
0.0003,0.0043,0,0
0.0004,0.0059,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0.0661,0.104,0,0
0.0075,0.0146,0,0
0,0,0,0
0,0,0,0
0,0,0,0
