train_nitrate,train_water,test_nitrate,test_water
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0.0297,0.106,0,0
1.3748,2.2301,0,0
0.5645,0.5828,0,0
0.1203,0.1576,0,0
0.0484,0.0787,0,0
0.0531,0.0957,0,0
0.0231,0.0466,0,0
0.009,0.0208,0,0
0.0041,0.0111,0,0
0.0046,0.0149,0,0
0.0037,0.0147,0,0
0.0033,0.0165,0,0
0.0039,0.0209,0,0
0.0033,0.0188,0,0
0.0016,0.0093,0,0
0,0,0,0
0.0009,0.0058,0,0
0.0047,0.0305,0,0
0.0021,0.0148,0,0
0.0016,0.0124,0,0
0.0018,0.0135,0,0
0.0011,0.0087,0,0
0,0.0002,0,0
0,0,0,0
0,0,0,0
0,0,0,0
2.0704,2.6151,0,0
3.502,3.8788,0,0
0.7302,0.7659,0,0
1.0113,1.5614,0,0
7.001,11.5957,0,0
4.697,8.3483,0,0
3.3596,6.0033,0,0
0.4935,0.8866,0,0
0.0574,0.1037,0,0
0.0002,0.0009,0,0
0,0,,
0,0,,
0,0,,
0,0,,
0.0064,0.033,,
0.0158,0.0586,,
0.0357,0.0945,,
1.8045,3.8942,,
3.6983,6.9626,,
0.2534,0.6034,,
0.0843,0.2074,,
0.0885,0.2258,,
0.101,0.2973,,
2.1633,5.325,,
2.4867,6.3966,,
0.3706,1.0064,,
0.1386,0.4013,,
0.0823,0.2894,,
0.0624,0.2796,,
0.0432,0.2167,,
0.037,0.2016,,
0.025,0.1418,,
0.0202,0.1195,,
0.0221,0.135,,
0.0178,0.1086,,
0.0114,0.0541,,
0.0323,0.1226,,
0.0355,0.1148,,
0.0476,0.1306,,
0.0782,0.188,,
0.1606,0.3446,,
0.2759,0.5241,,
2.3268,4.1443,,
0.6492,1.1125,,
0.1521,0.3294,,
0.0819,0.2298,,
0.0807,0.2495,,
0.0806,0.2542,,
0.0606,0.1908,,
0.0337,0.1261,,
0.0217,0.1012,,
0.02,0.1032,,
0.0126,0.0704,,
0.0133,0.0769,,
0.0189,0.1122,,
0.0187,0.1143,,
0.0121,0.0795,,
0.0091,0.0656,,
0.0168,0.1056,,
0.0263,0.1409,,
0.0218,0.1096,,
0.0174,0.0875,,
0.0219,0.0906,,
5.4074,7.8029,,
2.9392,4.663,,
1.1981,2.0227,,
0.9224,1.6248,,
0.7972,1.4224,,
0.4956,0.9028,,
0.7309,1.4008,,
0.8257,1.6086,,
0.4435,0.8763,,
0.5725,1.0766,,
1.1159,2.027,,
1.3243,2.3886,,
1.2338,2.1375,,
1.07,1.7236,,
0.8512,1.3396,,
5.4833,9.452,,
1.9538,3.2967,,
1.2038,2.0102,,
3.6387,10.6148,,
1.8156,4.7005,,
1.1988,2.6526,,
0.8442,1.7095,,
0.4959,1.0102,,
0.2862,0.577,,
0.2596,0.4324,,
0.2236,0.3258,,
0.1535,0.278,,
0.1199,0.2829,,
0.1349,0.2597,,
1.2995,4.577,,
0.8199,2.5166,,
0.5021,1.3133,,
0.6801,2.8352,,
2.3272,7.7183,,
0.6653,1.8613,,
0.7403,2.2411,,
2.5863,12.7679,,
0.7843,3.4123,,
0.642,1.7789,,
0.6599,1.6459,,
0.5513,1.2984,,
0.4318,1.0203,,
0.3252,0.8435,,
1.9172,7.0136,,
0.8993,3.2866,,
0.8381,2.9281,,
0.4941,2.185,,
1.5521,5.8625,,
0.8262,2.0741,,
0.7929,1.6663,,
0.6547,1.3306,,
0.4952,0.999,,
0.3472,0.7279,,
0.273,0.5956,,
0.2514,0.5505,,
0.2184,0.4788,,
0.18,0.399,,
0.1701,0.3828,,
0.1332,0.3097,,
0.1156,0.277,,
0.116,0.2782,,
0.102,0.2635,,
0.7299,1.9769,,
0.1665,0.4214,,
0.2492,0.6193,,
0.1792,0.4862,,
0.4766,3.7256,,
0.8224,4.8886,,
1.1008,8.4864,,
0.1062,1.9074,,
0.2257,0.8257,,
0.0902,0.5567,,
0.0214,0.4524,,
0.0744,0.3637,,
0.0946,0.2731,,
0.0456,0.243,,
0.0105,0.2234,,
0.0383,0.2068,,
0.0752,0.249,,
0.073,0.4006,,
0.0118,0.2558,,
0.042,0.2069,,
0.0546,0.1778,,
0.0447,0.1537,,
0.0391,0.1487,,
0.0332,0.1406,,
0.0327,0.1466,,
0.0331,0.1575,,
0.0303,0.1563,,
0.0271,0.1528,,
0.0241,0.1436,,
0.0207,0.1292,,
0.0211,0.1334,,
0.0222,0.1422,,
0.0202,0.1331,,
0.0196,0.1332,,
0.0187,0.1306,,
0.0167,0.1212,,
0.0168,0.1281,,
0.0219,0.1719,,
0.0108,0.0874,,
0.0122,0.0997,,
0.0135,0.1105,,
0.013,0.1037,,
0.0103,0.0857,,
0.0079,0.0695,,
0.0077,0.0719,,
0.007,0.0695,,
0.0093,0.0976,,
0.0102,0.1085,,
0.0106,0.1102,,
0.0269,0.232,,
0.0294,0.2147,,
0.0273,0.1739,,
0.0343,0.2018,,
0.0316,0.2132,,
0.0254,0.207,,
0.0191,0.1648,,
0.0128,0.0971,,
0.3171,1.0209,,
3.5403,8.2581,,
0.5727,1.2295,,
0.1922,0.4087,,
0.4935,0.8756,,
0.2895,0.6149,,
0.1849,0.468,,
0.0729,0.3597,,
0.0134,0.3105,,
0.0656,0.4409,,
0.0734,0.2902,,
0.0414,0.2986,,
0.0099,0.3051,,
0.0327,0.268,,
0.0518,0.2326,,
0.0521,0.22,,
0.0472,0.1986,,
0.0271,0.1186,,
0.0161,0.0742,,
0.0173,0.0856,,
0.003,0.0149,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0.0474,0.3712,,
0.0006,0.006,,
0,0,,
0.0006,0.0122,,
0.0004,0.0106,,
0.0001,0.0045,,
0,0.0006,,
0.0001,0.0014,,
0.0001,0.0024,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0.0003,0.0303,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0.0001,0.0319,,
0,0.0051,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0.1993,3.8856,,
0.0188,0.1508,,
0.0025,0.0246,,
0.0006,0.0067,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0.0027,0.036,,
0.0001,0.0011,,
0.0049,0.0521,,
0.0364,0.2354,,
1.4663,3.1441,,
1.3332,2.6002,,
0.9605,1.8025,,
0.1327,0.3078,,
0.0189,0.0707,,
0.0034,0.0147,,
0.0019,0.0082,,
0.0019,0.007,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
1.2478,2.466,,
2.8846,4.0065,,
0.3788,0.8526,,
0.017,0.2007,,
0.0135,0.0538,,
0.0104,0.0226,,
0.0062,0.0254,,
0.0009,0.0149,,
0.002,0.0083,,
0.0061,0.0144,,
0.3215,0.7259,,
0.1346,0.2587,,
0.0317,0.0714,,
0.0156,0.037,,
0.0202,0.0499,,
0.0129,0.033,,
0.0081,0.0217,,
0.0067,0.0181,,
0.0072,0.0195,,
0.007,0.0191,,
0.0058,0.016,,
0.0059,0.0164,,
0.0057,0.0159,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0.2383,1.0052,,
0.8613,3.8381,,
0.2098,1.0346,,
0.0385,0.2,,
0.0131,0.072,,
0.0068,0.0419,,
0.0051,0.0348,,
0.0362,0.2448,,
0.1352,0.895,,
0.1093,0.7184,,
0.0247,0.1608,,
0.0088,0.0564,,
0.0051,0.0323,,
0.0052,0.0326,,
0.0036,0.0226,,
0.0023,0.0142,,
0.002,0.0124,,
0.0038,0.0232,,
0,0,,
0.0013,0.0082,,
0.0004,0.0028,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0.0038,0.0239,,
0.0283,0.1772,,
0.9945,6.2217,,
0.6992,4.3784,,
0.2227,1.396,,
0.3771,2.3666,,
0.1081,0.6794,,
0.041,0.2581,,
0.0024,0.1416,,
0.0035,0.2047,,
0.1112,6.4126,,
0.0478,2.741,,
0.0019,0.103,,
0.0007,0.0358,,
0.0005,0.023,,
0.0004,0.0184,,
0.0005,0.0191,,
0.0203,0.7039,,
0.0532,1.7002,,
0.2236,6.4772,,
0.0758,1.9854,,
0.0115,0.2702,,
0.0051,0.1221,,
0.0048,0.1202,,
0.247,6.3604,,
0.1169,3.0775,,
0.0477,1.1771,,
0.167,4.8513,,
0.0799,2.9519,,
0.0647,3.1202,,
0.0508,3.4173,,
0.0474,3.7498,,
0.0289,1.4675,,
0.0155,0.5534,,
0.0086,0.2274,,
0.0043,0.0948,,
0.002,0.0557,,
0.0011,0.0429,,
0.0019,0.0484,,
0.0058,0.1087,,
0.0065,0.1224,,
0.0036,0.0698,,
0.0027,0.0554,,
0.0023,0.0478,,
0.0016,0.0348,,
0.2053,5.9225,,
0.1116,3.4308,,
0.0261,0.9013,,
0.0045,0.1679,,
0.0142,0.612,,
0.0468,2.6105,,
0.0063,0.3996,,
0.0039,0.2571,,
0.0028,0.1907,,
0.0018,0.1258,,
0.0016,0.1175,,
0.0014,0.1122,,
0.0013,0.1025,,
0.001,0.0834,,
0.0009,0.0813,,
0.0009,0.0844,,
0.0008,0.0862,,
0.0007,0.0797,,
0.0006,0.0688,,
0.0004,0.0478,,
0.0003,0.042,,
0.0003,0.0467,,
0.0106,1.7339,,
0.0047,0.8108,,
0.0015,0.1749,,
0.0013,0.118,,
0.0014,0.1086,,
0.0014,0.1068,,
0.0017,0.1419,,
0.0012,0.1179,,
0.0009,0.093,,
0.0007,0.0796,,
0.0006,0.0616,,
0.0005,0.058,,
0.0003,0.0611,,
0,0.0655,,
0,0.1634,,
0,0.0168,,
0,0,,
0,0.0237,,
0.0001,0.0495,,
0.0002,0.065,,
0.0002,0.0754,,
0.0001,0.0467,,
0,0.032,,
0,0.0281,,
0,0.0103,,
0.0001,0.0073,,
0.0003,0.0091,,
0.0001,0.0025,,
0,0,,
1.0651,3.0818,,
1.6005,5.3873,,
0.2335,1.1202,,
0.0311,0.1974,,
0.0146,0.108,,
0.2797,2.0673,,
0.0667,0.8931,,
0.2151,4.5885,,
0.1102,2.8584,,
0.011,0.3098,,
0.003,0.0849,,
0.1191,2.0325,,
0.1014,4.9402,,
0.0008,0.4915,,
0.0002,0.1169,,
0.0007,0.0792,,
0.0009,0.0561,,
0.0009,0.0478,,
0.0009,0.0364,,
0.0002,0.0062,,
0,0,,
0,0,,
0.0002,0.0039,,
0,0.0006,,
0,0,,
0,0,,
0,0,,
0.0007,0.0158,,
0.0008,0.0191,,
0.0003,0.0075,,
0.0004,0.0072,,
0.0066,0.0427,,
0.0049,0.0282,,
0,0,,
0,0,,
0.0437,6.8787,,
0.0088,9.9923,,
0.0031,2.7272,,
0.0011,0.3007,,
0.0008,0.0711,,
0.0008,0.0476,,
0.0006,0.0343,,
0.035,2.1663,,
0.0027,0.1712,,
0.0012,0.0803,,
0.0007,0.0439,,
0.0003,0.0178,,
0,0,,
0,0,,
0,0,,
0,0,,
0.0002,0.0148,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0.0022,0.2738,,
0.001,1.3391,,
0.0005,0.6096,,
0.0001,0.0726,,
0,0.0232,,
0,0.0088,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0.0009,0.5388,,
0.0004,0.0468,,
0,0.0006,,
0,0,,
0,0,,
0,0,,
0,0,,
0.0043,4.3657,,
0.0029,3.7418,,
0.0001,0.1604,,
0,0.0601,,
0,0.0281,,
0,0.0029,,
0,0,,
0,0,,
0,0,,
0,0,,
0.001,3.6509,,
0.0031,9.5168,,
0.0001,3.1532,,
0.0003,3.7858,,
0.0003,2.0965,,
0.0001,0.6766,,
0.0003,0.2858,,
0.0006,0.1346,,
0.0002,0.0177,,
0.0001,0.0077,,
0,0.0022,,
0.0001,0.0119,,
0.0132,1.1251,,
0.0021,0.5422,,
0.001,0.7348,,
0.0002,0.1391,,
0.0001,0.0636,,
0.0001,0.0422,,
0.0001,0.0319,,
0.0001,0.0245,,
0.0001,0.02,,
0.0001,0.0182,,
0.0002,0.0171,,
0.0002,0.0171,,
0.0002,0.0205,,
0.0002,0.0207,,
0.0002,0.0174,,
0.0002,0.0174,,
0.0002,0.0189,,
0.0002,0.0198,,
0.0002,0.0175,,
0.0002,0.0173,,
0.0002,0.02,,
0.0002,0.0217,,
0.0001,0.0173,,
0.0001,0.0128,,
0.0001,0.013,,
0,0.0061,,
0,0.0037,,
0,0.0045,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0.7083,1.2,,
1.6957,2.1594,,
0.3116,0.3732,,
0.0864,0.1159,,
0.0412,0.063,,
0.0274,0.0481,,
0.0267,0.0496,,
0.0232,0.0444,,
0.0276,0.0545,,
0.0348,0.0707,,
0.0217,0.0445,,
0.0136,0.0279,,
0.0021,0.0043,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0.0117,0.024,,
0.028,0.0575,,
0.0106,0.0218,,
0.0078,0.0161,,
0.0066,0.0136,,
0.0035,0.007,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0.0106,0.0274,,
0.0046,0.0128,,
0.9344,2.859,,
1.2091,3.8262,,
0.5157,1.6948,,
0.2473,0.7508,,
0.0836,0.2372,,
0.0236,0.0798,,
0.009,0.0404,,
0.0071,0.033,,
0.0108,0.0495,,
0.0115,0.0536,,
0.1006,0.4813,,
0.1692,0.8109,,
0.0552,0.269,,
0.3707,4.179,,
0.25,4.0761,,
0.1315,1.4348,,
0.1292,1.1663,,
0.0919,0.7853,,
0.0316,0.2447,,
0.0259,0.1875,,
0.0173,0.1299,,
0.0082,0.0655,,
0.0066,0.0547,,
0.0054,0.0463,,
0.0037,0.0334,,
0.0037,0.0353,,
0.0027,0.0266,,
0.0026,0.0269,,
0.0023,0.0252,,
0.002,0.0229,,
0.0019,0.0236,,
0.0014,0.0187,,
0.0013,0.0156,,
0.0097,0.1213,,
0.0149,0.1954,,
0.0007,0.0097,,
0.0006,0.0095,,
0.0006,0.0096,,
0.0007,0.0104,,
0.0006,0.0104,,
0.0006,0.0104,,
0.0006,0.0104,,
0.0006,0.0112,,
0.0006,0.0113,,
0.0006,0.0127,,
0.0006,0.0123,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0.0237,0.2248,,
0.2879,2.7275,,
0.577,5.3252,,
0.1262,1.039,,
0.0129,0.0949,,
0.005,0.0428,,
0.0024,0.0213,,
0.0021,0.019,,
0.0018,0.0174,,
0.0016,0.0162,,
0.005,0.054,,
0.1263,1.4226,,
0.2521,2.9958,,
0.313,3.4636,,
0.1719,1.5543,,
0.1254,1.0496,,
0.1538,1.2469,,
0.2302,1.9005,,
0.1528,1.3022,,
0.0883,0.7871,,
0.0172,0.1626,,
0.0119,0.1184,,
0.0142,0.1511,,
0.0048,0.0591,,
0.0028,0.044,,
0.0024,0.042,,
0.0011,0.0205,,
0.0009,0.017,,
0.0009,0.0178,,
0.0021,0.0454,,
0.0008,0.0176,,
0.0008,0.02,,
0.0008,0.0194,,
0.0022,0.0577,,
0.0016,0.0465,,
0.001,0.0275,,
0.2117,3.7598,,
0.4015,5.5615,,
0.1178,1.3979,,
0.1493,1.7425,,
0.3537,6.5659,,
0.2029,6.5567,,
0.1282,6.5753,,
0.0625,3.3465,,
0.0647,3.3154,,
0.0574,3.9883,,
0.056,4.43,,
0.0291,1.4776,,
0.0191,0.7137,,
0.0181,0.7495,,
0.115,5.3808,,
0.0686,3.1213,,
0.0251,1.0573,,
0.0152,0.5136,,
0.0091,0.2625,,
0.0082,0.224,,
0.0077,0.1917,,
0.0047,0.1094,,
0.003,0.0672,,
0.0025,0.0569,,
0.0025,0.0555,,
0.0027,0.0596,,
0.0025,0.0567,,
0.0024,0.0555,,
0.0024,0.0591,,
0.0015,0.0391,,
0.0014,0.0391,,
0.0012,0.0356,,
0.0013,0.0373,,
0.0014,0.0412,,
0.0011,0.0334,,
0.0007,0.0215,,
0.0006,0.0209,,
0.0006,0.0215,,
0.0005,0.0209,,
0.0007,0.0213,,
0.083,1.1437,,
0.1045,1.5221,,
0.1875,4.4552,,
0.1483,5.1368,,
0.0448,1.8106,,
0.0253,1.052,,
0.0078,0.3162,,
0.0896,3.5399,,
0.0829,3.4163,,
0.0194,0.8324,,
0.0273,1.0149,,
0.011,0.3507,,
0.0086,0.2408,,
0.0081,0.2062,,
0.0079,0.1886,,
0.0068,0.1651,,
0.0056,0.1405,,
0.0043,0.1129,,
0.0197,0.6019,,
0.1281,6.2625,,
0.0424,2.5326,,
0.0265,1.1861,,
0.0165,0.6102,,
0.0345,1.0903,,
0.0157,0.4172,,
0.0111,0.2562,,
0.0085,0.1993,,
0.0066,0.1597,,
0.0054,0.1378,,
0.0046,0.1233,,
0.0039,0.1099,,
0.0036,0.1041,,
0.0029,0.0896,,
0.0023,0.0743,,
0.0021,0.0715,,
0.0022,0.0746,,
0.0022,0.0712,,
0.0035,0.1086,,
0.003,0.0952,,
0.0025,0.0804,,
0.0024,0.0803,,
0.002,0.0701,,
0.0018,0.069,,
0.0018,0.0727,,
0.0019,0.0711,,
0.0018,0.0655,,
0.0017,0.0656,,
0.0014,0.0601,,
0.0012,0.0604,,
0.0009,0.0497,,
0.0006,0.028,,
0.0005,0.0254,,
0.0005,0.0272,,
0.0005,0.0298,,
0.0005,0.0291,,
0.0004,0.0203,,
0.0002,0.011,,
0.0002,0.0109,,
0.0002,0.0105,,
0.0002,0.0112,,
0.0002,0.0118,,
0.0002,0.0094,,
0.0001,0.0064,,
0.0001,0.0069,,
0.0001,0.0084,,
0.0001,0.0083,,
0.0001,0.0069,,
0.0001,0.0054,,
0.0001,0.0061,,
0.0001,0.0056,,
0.0002,0.0096,,
0.0002,0.0085,,
0.0001,0.0078,,
0.0001,0.0047,,
0.0004,0.0202,,
0.0005,0.0233,,
0.3822,3.6227,,
0.0026,0.1382,,
0.0015,0.1246,,
0.0003,0.0403,,
0.0001,0.0159,,
0,0.0119,,
0,0.0115,,
0,0.0113,,
0,0.014,,
0,0.0151,,
0,0.0155,,
0.0001,0.0216,,
0.0008,0.2002,,
0.0003,0.0959,,
0.0001,0.0245,,
0,0,,
0.0005,0.0744,,
0.0003,0.0493,,
0.0001,0.011,,
0,0,,
0,0.0006,,
0,0.0007,,
0,0.0009,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0.006,0.7402,,
0.0003,0.0674,,
0.0001,0.0117,,
0,0,,
0.0004,0.1109,,
0.0002,0.1188,,
0,0.0495,,
0,0.002,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0.0019,0.2975,,
0.0004,0.1331,,
0,0.0083,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0.0011,0.0872,,
0.0013,0.0979,,
0.0004,0.032,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0.0005,0.0563,,
0.0015,0.163,,
0.0019,0.0806,,
0.0003,0.0153,,
0,0,,
0.0002,0.0414,,
0,0,,
0,0,,
0,0.0054,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0,0,,
0.0003,0.0178,,
0.0008,0.0706,,
0.0001,0.0122,,
0.0001,0.0096,,
0.0163,2.4798,,
0.0225,3.4865,,
0.0017,0.5744,,
0.0003,0.2007,,
0.0002,0.1579,,
0.0001,0.1353,,
0.0001,0.063,,
0.0001,0.0232,,
0.0007,0.1541,,
0.0009,0.1758,,
0.0002,0.0646,,
0.0002,0.0563,,
0.0002,0.0598,,
0.0001,0.0438,,
0.0016,0.1758,,
0.0157,1.2493,,
0.0202,1.3893,,
0.0282,1.7196,,
0.0206,1.3165,,
0.007,0.4652,,
0.0029,0.2152,,
0.0015,0.1228,,
0.0012,0.082,,
0.0331,1.9372,,
0.0197,1.1608,,
0.0908,7.4286,,
0.0228,2.0352,,
0.0054,0.5536,,
0.0021,0.236,,
0.0052,0.5719,,
0.0668,5.3871,,
0.0578,5.6861,,
0.0162,2.1139,,
0.0103,1.6536,,
0.0048,0.8841,,
0.0016,0.3346,,
0.0012,0.2403,,
0.0009,0.1465,,
0.0009,0.1115,,
0.0007,0.074,,
0.0006,0.0587,,
0.0006,0.0506,,
0.0004,0.0396,,
0.0014,0.1129,,
0.0076,0.3465,,
0.0525,1.8045,,
0.016,0.5266,,
0.0031,0.103,,
0.002,0.0685,,
0.0149,0.5464,,
0.1277,4.876,,
0.0419,1.7082,,
0.016,0.7257,,
0.007,0.3532,,
0.0026,0.1521,,
0.0025,0.1504,,
0.0332,1.3588,,
0.0796,3.4293,,
0.0232,1.1402,,
0.0071,0.425,,
0.0749,6.462,,
